,dataTime,stationName,so2Value,coValue,o3Value,no2Value,pm10Value
1,2022-08-03,중구,0.003,0.2,0.035,0.017,30
2,2022-07-01,한강대로,0.004,0.5,0.015,0.036,48
3,2022-06-03,종로구,0.002,0.4,0.042,0.014,28
4,2022-06-13,청계천로,0.004,0.5,0.034,0.024,36
5,2022-06-22,종로,0.003,0.2,0.027,0.016,29
6,2022-09-03,용산구,0.003,0.2,0.041,0.007,22
7,2022-10-03,광진구,0.003,0.4,0.04,0.008,28
9,2022-11-15,강변북로,0.002,0.5,0.029,0.026,21
10,2021-08-03,중랑구,0.002,0.3,0.047,0.011,32
11,2021-09-03,동대문구,0.003,0.3,0.032,0.012,14
12,2021-09-13,홍릉로,0.003,0.6,0.032,0.031,32
13,2021-11-03,성북구,0.002,0.3,0.045,0.012,27
14,2021-09-03,정릉로,0.002,0.3,0.036,0.029,31
15,2021-12-03,도봉구,0.001,0.3,0.045,0.005,25
16,2020-08-03,은평구,0.002,0.3,0.041,0.008,28
17,2020-11-03,서대문구,0.002,0.4,0.042,0.01,24
18,2020-07-03,마포구,0.002,0.1,0.039,0.012,30
19,2020-08-03,신촌로,0.003,0.6,0.019,0.054,47
20,2020-08-03,강서구,0.002,0.3,0.044,0.009,31
22,2020-11-03,구로구,0.002,0.3,0.045,0.005,15
23,2019-08-03,영등포구,0.002,0.3,0.03,0.009,29
24,2019-07-03,영등포로,0.002,0.5,0.025,0.028,27
25,2019-05-03,동작구,0.003,0.2,0.046,0.006,26
26,2019-11-03,동작대로 중앙차로,0.002,0.4,0.043,0.025,30
27,2019-05-03,관악구,0.003,0.4,0.043,0.025,30
28,2019-12-03,강남구,0.003,0.2,0.047,0.009,27
29,2019-04-03,서초구,0.003,0.3,0.051,0.008,18
30,2019-09-03,도산대로,0.003,0.3,0.037,0.015,26
31,2019-12-15,강남대로,0.001,0.5,0.028,0.024,18
32,2018-08-03,송파구,0.002,0.3,0.047,0.008,27
33,2018-11-03,강동구,0.002,0.3,0.042,0.006,24
34,2018-11-03,천호대로,0.002,0.3,0.04,0.016,30
35,2018-06-03,금천구,0.003,0.2,0.032,0.008,30
36,2018-07-03,시흥대로,0.003,0.3,0.034,0.014,29
37,2017-08-03,강북구,0.002,0.2,0.045,0.006,30
38,2017-07-03,양천구,0.004,0.3,0.03,0.008,27
39,2017-11-03,노원구,0.004,0.3,0.045,0.006,27
40,2017-02-03,화랑로,0.002,0.3,0.042,0.017,35
