,Actual,Prediction
0,1,1
1,1,0
2,0,1
3,0,0
4,1,1
5,0,1
6,1,1
7,1,1
8,0,1
9,0,0
10,1,0
11,0,0
12,0,0
13,1,0
14,1,1
15,1,1
16,1,1
17,0,1
18,1,0
19,0,1
20,1,1
21,0,0
22,0,0
23,0,1
24,0,1
25,1,0
26,0,1
27,1,0
28,0,0
29,1,0
30,0,0
31,1,0
32,1,0
33,1,0
34,1,1
35,1,1
36,0,1
37,0,0
38,1,0
39,1,0
40,0,0
41,1,1
42,1,0
43,1,1
44,1,1
45,0,0
46,1,1
47,0,0
48,1,1
49,0,0
50,1,0
51,0,1
52,1,0
53,0,1
54,0,0
55,0,0
56,1,0
57,1,1
58,0,0
59,0,0
60,1,0
61,0,0
62,1,0
63,1,1
64,1,1
65,1,0
66,1,1
67,0,0
68,0,0
69,0,0
70,0,1
71,0,0
72,1,0
73,0,0
74,1,0
75,1,1
76,0,1
77,1,1
78,1,1
79,1,1
80,1,0
81,1,1
82,0,0
83,1,0
84,1,1
85,0,0
86,1,0
87,1,1
88,1,1
89,0,1
90,0,0
91,0,0
92,0,0
93,0,0
94,1,0
95,0,1
96,1,1
97,0,0
98,1,1
99,1,0
100,0,1
101,1,1
102,1,1
103,0,0
104,1,0
105,1,0
106,0,0
107,0,0
108,1,1
109,0,1
110,0,0
111,0,0
112,0,0
113,1,1
114,1,0
115,1,1
116,0,0
117,1,1
118,1,1
119,1,0
120,0,0
121,1,1
122,0,0
123,1,0
124,1,1
125,1,0
126,1,1
127,0,0
128,0,1
129,1,1
130,1,1
131,1,0
132,0,0
133,1,0
134,1,0
135,0,0
136,1,0
137,1,1
138,0,1
139,0,0
140,1,1
141,1,0
142,0,1
143,0,0
144,0,0
145,1,1
146,1,1
147,1,1
148,1,0
149,1,0
150,0,0
151,0,1
152,0,0
153,1,1
154,0,0
155,1,0
156,0,0
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,0
164,1,1
165,1,1
166,0,1
167,0,0
168,1,0
169,1,0
170,1,1
171,1,0
172,0,1
173,1,1
174,1,0
175,1,0
176,1,1
177,1,0
178,1,1
179,1,0
180,0,1
181,0,0
182,0,0
183,0,0
184,1,1
185,1,1
186,1,1
187,1,0
188,1,1
189,1,1
190,1,0
191,1,1
192,0,0
193,1,0
194,1,0
195,1,0
196,0,0
197,0,0
198,1,1
199,0,0
200,0,0
201,0,0
202,1,1
203,0,0
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,1,0
210,0,0
211,0,0
212,0,0
213,0,0
214,1,1
215,1,0
216,1,0
217,0,0
218,1,0
219,0,1
220,0,1
221,1,1
222,1,0
223,0,0
224,0,1
225,1,1
226,0,0
227,0,0
228,1,1
229,1,0
230,0,1
231,1,0
232,0,1
233,1,0
234,0,0
235,0,0
236,1,0
237,1,1
238,1,1
239,1,1
240,0,1
241,1,1
242,0,0
243,1,1
244,0,0
245,1,1
246,0,0
247,1,0
248,0,1
249,1,0
250,0,0
251,1,1
252,1,0
253,1,1
254,1,1
255,1,1
256,0,1
257,0,0
258,1,1
259,1,1
260,0,0
261,0,0
262,0,0
263,1,1
264,1,1
265,1,1
266,1,0
267,1,0
268,0,0
269,1,1
270,0,0
271,1,0
272,0,0
273,1,1
274,0,0
275,1,0
276,0,0
277,0,1
278,1,0
279,1,1
280,1,1
281,1,0
282,0,0
283,1,0
284,1,0
285,1,1
286,0,1
287,0,0
288,1,0
289,1,0
290,0,0
291,1,1
292,0,0
293,1,1
294,0,0
295,0,0
296,1,0
297,1,1
298,0,0
299,0,0
300,0,0
301,0,0
302,1,0
303,0,0
304,1,1
