,title,year,fuel,km,price,maker
1,현대 제네시스 BH330 럭셔리 프라임팩,08/09(09년형),가솔린,260000,690,현대
2,제네시스 더 올 뉴 G80 3.5 T-GDi AWD,20/06(21년형),가솔린,10000,700,제네시스
3,기아 K7 프리미어 3.0 GDI 시그니처,19/07(20년형),가솔린,20000,3350,기아
4,기아 더 뉴 K7 3.0 GDI 프레스티지,01월 15일,가솔린,90000,1990,기아
5,현대 갤로퍼2 숏바디 이노베이션 밴 인터쿨러 엑시드,02월 10일,디젤,160000,550,현대
6,기아 올 뉴 카니발 3.3 GDi 9인승 하이리무진 노블레스,16/09(17년형),가솔린,120000,3080,기아
7,기아 모하비 KV300 4WD 상시4WD,01월 15일,디젤,140000,1960,기아
8,현대 포터2 초장축 슈퍼캡 CRDi 기본형,16/04(17년형),디젤,180000,990,현대
9,현대 코나 1.6 T-GDi 2WD 모던 테크,17/08(18년형),가솔린,50000,1650,현대
10,현대 아반떼AD 1.6 T-GDi 스포츠 익스트림 셀렉션,07월 18일,가솔린,70000,1790,현대
11,제네시스 G90 3.3 T-GDi AWD 프레스티지,06월 19일,가솔린,10000,8500,제네시스
12,제네시스 G70 2.0 T-GDi 슈프림,05월 18일,가솔린,20000,3100,제네시스
13,제네시스 더 올 뉴 G80 2.5 T-GDi AWD,20/09(21년형),가솔린,5000,6000,제네시스
14,현대 아반떼AD 1.6 e-VGT 스마트 스페셜,15/11(16년형),디젤,20000,1200,현대
15,현대 뉴스타렉스 점보 밴 TCI 6인승 GRX 윈도우밴 고급형,04월 03일,디젤,80000,295,현대
16,기아 카니발 4세대 2.2 디젤 9인승 시그니처,20/10(21년형),디젤,600,600,기아
17,쉐보레 리얼 뉴 콜로라도 3.6 V6 4WD Z71-X 미드나잇,20/11(21년형),가솔린,1000,4600,쉐보레
18,기아 스포티지 4세대 2.0 디젤 2WD 노블레스 스페셜,15/12(16년형),디젤,60000,1990,기아
19,현대 LF쏘나타 2.0 CVVL 스마트,15/11(16년형),가솔린,70000,1620,현대
20,기아 더 뉴 카니발 3.3 가솔린 9인승 하이리무진 노블레스 스페셜,04월 19일,가솔린,70000,4750,기아
21,현대 더 뉴 아반떼AD G1.6 스타일,18/12(19년형),가솔린,10000,5500,현대
22,현대 엑센트 1.4 VVT 모던,15/09(16년형),가솔린,2.00E+05,5000,현대
23,기아 올 뉴 쏘울 1.6 GDI 럭셔리,15/10(16년형),가솔린,120000,750,기아
24,쉐보레 올 뉴 크루즈 1.4 터보 LTZ,18/02(17년형),디젤,30000,1350,쉐보레
25,기아 올 뉴 카니발 2.2 디젤 9인승 노블레스,01월 16일,디젤,40000,2650,기아
26,기아 스포티지 4세대 1.7 디젤 2WD 노블레스,01월 16일,디젤,110000,1590,기아
27,제네시스 GV70 2.5 T-GDi,02월 21일,가솔린,22,5910,제네시스
28,오딧 이동업무차,20/03(19년형),디젤,10000,5600,오딧
29,현대 그랜져HG 300 노블,11월 02일,가솔린,170000,1199,현대
30,제네시스 EQ900 3.8 GDi AWD 럭셔리,01월 18일,가솔린,70000,4150,제네시스
31,현대 제네시스 쿠페 380 GT RW,09/05(10년형),가솔린,90000,5000,현대
32,현대 제네시스 쿠페 200 터보 R,11월 10일,가솔린,140000,690,현대
33,현대 뉴 i30 1.6 VGT PYL,13/07(14년형),디젤,160000,650,현대
34,현대 제네시스 쿠페 200 터보 R,10월 03일,가솔린,150000,650,현대
35,현대 제네시스 쿠페 200 터보 R,08/10(09년형),가솔린,190000,750,현대
36,아리아워크스루밴 이동업무차,04월 19일,디젤,10000,5500,아리아워크스루밴
37,기아 더 뉴 쏘렌토 2.0 디젤 2WD 프레스티지,17/10(18년형),디젤,70000,2150,기아
38,현대 올 뉴 투싼 1.7 E-VGT 2WD 모던,17/05(18년형),디젤,20000,1740,현대
39,기아 올 뉴 모닝 1.0 가솔린 럭셔리,14/07(15년형),가솔린,60000,570,기아
40,현대 그랜저 뉴 럭셔리 Q270 럭셔리,08/07(09년형),가솔린,130000,300,현대
41,현대 싼타페TM 2.2 디젤 2WD 프레스티지,18/04(19년형),디젤,30000,5215,현대
42,제네시스 더 올 뉴 G80 3.5 T-GDi AWD,20/12(21년형),가솔린,105,7050,제네시스
43,GM대우 BH 090 캠핑카,09월 04일,디젤,60000,4500,GM대우
44,현대 갤로퍼 표준형 밴,May-96,가솔린,10000,3400,현대
45,제네시스 GV80 3.5 T-GDi AWD 5인승,04월 20일,가솔린,2000,7800,제네시스
46,현대 그랜져 2.0,May-87,가솔린,80000,1500,현대
47,쎄미시스코 스마트 EV Z,21/00,전기,13,2500,쎄미시스코
48,GM대우 레스타 장축 캠핑카,05월 13일,디젤,290000,3980,GM대우
49,현대 포니2 픽업,Nov-88,가솔린,30000,1050,현대
50,르노삼성 마스터 2.3 디젤 밴 L,01월 19일,디젤,30000,2499,르노삼성
51,현대 제네시스 BH380 로얄,08월 04일,가솔린,280000,750,현대
52,제네시스 G80 3.3 GDi AWD 프리미엄 럭셔리,01월 17일,가솔린,80000,3450,제네시스
53,현대 싼타페DM 2.0 VGT 2WD 모던,14/10(15년형),디젤,80000,1420,현대
54,쉐보레 올 뉴 말리부 1.5 터보 LS 디럭스,16/09(17년형),가솔린,120000,890,쉐보레
55,현대 아반떼MD M16 GDi 스마트,02월 13일,가솔린,90000,650,현대
56,기아 K3 1.6 GDI 디럭스,12월 15일,가솔린,110000,520,기아
57,기아 더 뉴 K5 2.0 럭셔리 트렌디,03월 14일,가솔린,110000,950,기아
58,기아 더 뉴 K5 2.0 LPi 디럭스,03월 14일,LPG,110000,830,기아
59,기아 올 뉴 쏘렌토 2.0 디젤 2WD 프레스티지,03월 15일,디젤,150000,1495,기아
60,GM대우 All New 마티즈 SX 오렌지 에디션,08월 05일,가솔린,120000,160,GM대우
61,기아 더 뉴 모닝 밴 고급형,10월 16일,가솔린,30000,489,기아
62,케이씨 노블 클라쎄 카니발,17/09(18년형),디젤,80000,3999,케이씨
63,GM대우 BH 119,04/12(05년형),디젤,150000,2100,GM대우
64,기아 더 뉴 스포티지R 2.0 디젤 2WD 프레스티지,04월 15일,디젤,160000,1690,기아
65,현대 아반떼AD 1.6 T-GDi 스포츠,17/10(18년형),가솔린,1.00E+05,1150,현대
66,기아 레이 1.0 터보 프레스티지,14/08(15년형),가솔린,60000,1050,기아
67,르노삼성 SM7 뉴 아트 프레스티지,09/10(10년형),가솔린,150000,590,르노삼성
68,현대 뉴 카운티 장축 SUP 29인승,03월 18일,디젤,50000,5580,현대
69,기아 뉴 오피러스 GH270 고급형,07월 03일,가솔린,1.00E+05,320,기아
70,기아 더 프레스티지 K7 3.0 LPi 프레스티지,12월 06일,LPG,160000,870,기아
